AI_Model_000001 | Base_Model: GPT | Type: Large Language Model | Size: Tiny | Domain: General AI | Primary_Task: Text Generation
AI_Model_000002 | Base_Model: BERT | Type: Transformer Encoder | Size: Tiny | Domain: General AI | Primary_Task: Text Classification
AI_Model_000003 | Base_Model: T5 | Type: Text-to-Text Transformer | Size: Tiny | Domain: General AI | Primary_Task: Text Transformation
AI_Model_000004 | Base_Model: Llama | Type: Large Language Model | Size: Tiny | Domain: General AI | Primary_Task: Text Generation
AI_Model_000005 | Base_Model: Mistral | Type: Large Language Model | Size: Tiny | Domain: General AI | Primary_Task: Text Generation
AI_Model_000006 | Base_Model: Claude | Type: Large Language Model | Size: Tiny | Domain: General AI | Primary_Task: Conversational AI
AI_Model_000007 | Base_Model: Gemini | Type: Multimodal AI Model | Size: Tiny | Domain: General AI | Primary_Task: Multimodal Generation
AI_Model_000008 | Base_Model: Whisper | Type: Speech Recognition Model | Size: Tiny | Domain: General AI | Primary_Task: Speech-to-Text
AI_Model_000009 | Base_Model: CLIP | Type: Vision-Language Model | Size: Tiny | Domain: General AI | Primary_Task: Image-Text Understanding
AI_Model_000010 | Base_Model: Stable Diffusion | Type: Diffusion Model | Size: Tiny | Domain: General AI | Primary_Task: Image Generation
AI_Model_000011 | Base_Model: DALL-E | Type: Generative Image Model | Size: Tiny | Domain: General AI | Primary_Task: Image Generation
AI_Model_000012 | Base_Model: YOLO | Type: Computer Vision Model | Size: Tiny | Domain: General AI | Primary_Task: Object Detection
AI_Model_000013 | Base_Model: ResNet | Type: Convolutional Neural Network | Size: Tiny | Domain: General AI | Primary_Task: Image Classification
AI_Model_000014 | Base_Model: ViT | Type: Vision Transformer | Size: Tiny | Domain: General AI | Primary_Task: Image Classification
AI_Model_000015 | Base_Model: WaveNet | Type: Generative Audio Model | Size: Tiny | Domain: General AI | Primary_Task: Audio Generation
AI_Model_000016 | Base_Model: Wav2Vec | Type: Speech Representation Model | Size: Tiny | Domain: General AI | Primary_Task: Speech Recognition
AI_Model_000017 | Base_Model: Diffusion Transformer | Type: Diffusion Transformer | Size: Tiny | Domain: General AI | Primary_Task: Generative Modeling
AI_Model_000018 | Base_Model: AutoEncoder | Type: Generative Model | Size: Tiny | Domain: General AI | Primary_Task: Representation Learning
AI_Model_000019 | Base_Model: GAN | Type: Generative Adversarial Network | Size: Tiny | Domain: General AI | Primary_Task: Synthetic Data Generation
AI_Model_000020 | Base_Model: RNN | Type: Recurrent Neural Network | Size: Tiny | Domain: General AI | Primary_Task: Sequence Modeling
AI_Model_000021 | Base_Model: GPT | Type: Large Language Model | Size: Small | Domain: General AI | Primary_Task: Text Generation
AI_Model_000022 | Base_Model: BERT | Type: Transformer Encoder | Size: Small | Domain: General AI | Primary_Task: Text Classification
AI_Model_000023 | Base_Model: T5 | Type: Text-to-Text Transformer | Size: Small | Domain: General AI | Primary_Task: Text Transformation
AI_Model_000024 | Base_Model: Llama | Type: Large Language Model | Size: Small | Domain: General AI | Primary_Task: Text Generation
AI_Model_000025 | Base_Model: Mistral | Type: Large Language Model | Size: Small | Domain: General AI | Primary_Task: Text Generation
AI_Model_000026 | Base_Model: Claude | Type: Large Language Model | Size: Small | Domain: General AI | Primary_Task: Conversational AI
AI_Model_000027 | Base_Model: Gemini | Type: Multimodal AI Model | Size: Small | Domain: General AI | Primary_Task: Multimodal Generation
AI_Model_000028 | Base_Model: Whisper | Type: Speech Recognition Model | Size: Small | Domain: General AI | Primary_Task: Speech-to-Text
AI_Model_000029 | Base_Model: CLIP | Type: Vision-Language Model | Size: Small | Domain: General AI | Primary_Task: Image-Text Understanding
AI_Model_000030 | Base_Model: Stable Diffusion | Type: Diffusion Model | Size: Small | Domain: General AI | Primary_Task: Image Generation
AI_Model_000031 | Base_Model: DALL-E | Type: Generative Image Model | Size: Small | Domain: General AI | Primary_Task: Image Generation
AI_Model_000032 | Base_Model: YOLO | Type: Computer Vision Model | Size: Small | Domain: General AI | Primary_Task: Object Detection
AI_Model_000033 | Base_Model: ResNet | Type: Convolutional Neural Network | Size: Small | Domain: General AI | Primary_Task: Image Classification
AI_Model_000034 | Base_Model: ViT | Type: Vision Transformer | Size: Small | Domain: General AI | Primary_Task: Image Classification
AI_Model_000035 | Base_Model: WaveNet | Type: Generative Audio Model | Size: Small | Domain: General AI | Primary_Task: Audio Generation
AI_Model_000036 | Base_Model: Wav2Vec | Type: Speech Representation Model | Size: Small | Domain: General AI | Primary_Task: Speech Recognition
AI_Model_000037 | Base_Model: Diffusion Transformer | Type: Diffusion Transformer | Size: Small | Domain: General AI | Primary_Task: Generative Modeling
